item_name	semantic_audio
guo_speech.wav_0000000000_0000149120.wav	61 682 636 361 120 151 319 522 134 852 459 836 718 733 307 77 923 746 623 420 420 760 760 1005 760 215 679 721 721 441 214 1012 221 305 39 321 39 39 305 324 230 657 106 453 363 154 425 836 378 776 302 393 91 778 789 900 166 438 296 348 446 632 754 65 75 28 214 574 707 851 362 158 173 466 654 595 284 952 341 365 735 563 972 984 755 692 830 873 873 966 966 966 681 681 757 757 757 433 242 163 494 424 730 349 933 787 148 782 933 586 547 497 756 615 548 677
guo_speech.wav_0000921280_0001040000.wav	913 940 485 88 558 970 767 35 42 764 135 247 519 91 755 61 61 856 541 151 685 769 504 495 671 284 181 61 449 248 972 762 187 80 390 803 61 577 600 850 779 744 869 297 337 581 451 642 596 913 913 214 3 99 944 829 404 162 769 361 682 989 866 126 898 613 322 506 344 832 493 988 493 676 657 107 836 459 329 88 933 88 40 20 770 1001 14 190 714 29 360 405
guo_speech.wav_0001837760_0001966720.wav	277 30 449 297 900 302 393 485 1011 691 558 1007 387 767 35 35 414 900 754 318 632 533 938 629 596 490 902 1003 416 977 684 301 438 166 133 688 550 467 633 669 933 799 439 629 609 969 863 777 973 434 703 771 325 205 656 937 492 149 170 875 540 29 540 111 80 770 464 770 52 166 920 697 533 7 533 906 994 677 450 654 583 414 197 89 249 742 484 648 401 378 701 365 867 836 40 994 179 422 994 457
guo_speech.wav_0002672640_0002857920.wav	432 453 761 900 383 743 703 107 972 979 655 43 264 324 52 668 517 412 793 935 1006 547 322 384 684 684 287 462 379 616 27 134 502 126 551 164 573 201 74 449 987 19 324 400 581 804 451 679 656 441 967 982 208 57 750 797 707 874 998 24 402 200 776 847 745 703 658 61 799 512 415 275 537 155 451 263 57 750 647 263 14 3 327 640 993 765 337 844 1003 666 684 281 594 222 531 284 951 132 650 769 112 112 476 224 135 177 948 547 458 528 500 8 609 372 614 611 614 512 56 159 56 341 78 867 68 952 710 579 592 728 853 573 37 745 161 124 1020 434 90 441 540 693 530 190
guo_speech.wav_0003574720_0003752000.wav	913 98 5 16 500 930 602 760 904 637 1017 703 889 497 569 216 609 579 186 597 728 387 48 361 684 528 963 783 49 979 582 441 272 920 109 610 548 393 620 521 195 617 880 706 297 621 422 151 438 992 662 957 799 813 192 215 570 596 1012 29 41 3 248 247 273 921 492 146 600 767 112 798 319 700 900 378 898 873 757 862 925 393 5 242 405 426 211 84 84 81 892 322 961 834 928 745 703 835 946 785 249 495 300 907 760 371 531 882 302 918 671 755 691 593 8 545 545 651 633 1011 558 880 494 766 789 414 631 474 411 570 242 797 995 91 462 975 632 774
guo_speech.wav_0000149120_0000338560.wav	295 666 666 771 59 393 373 173 1022 91 803 547 916 656 190 160 565 565 185 185 699 663 190 14 341 808 21 39 795 795 795 700 606 88 333 653 653 333 333 342 333 333 333 333 717 413 14 14 190 190 721 200 190 837 214 160 656 334 185 596 937 804 86 39 261 92 92 521 192 190 579 640 69 777 329 363 165 576 1002 186 349 558 284 560 197 352 589 7 711 462 551 449 245 635 606 121 470 26 870 626 48 48 452 794 806 741 754 804 262 4 331 922 308 526 190 576 628 880 337 1019 1019 768 706 571 571 511 511 711 887 1006 414 200 438 249 392 564 185 656 775 721 290 721 574 875 837 726 149
guo_speech.wav_0001060480_0001215680.wav	1012 714 360 773 976 975 453 322 706 338 308 628 933 40 938 65 190 538 684 464 910 490 272 771 888 779 713 18 560 720 511 723 723 723 85 632 138 759 684 35 35 506 922 880 706 424 108 871 685 1003 49 265 503 135 658 746 982 508 612 16 27 57 623 574 574 875 170 913 872 185 656 679 714 190 540 721 29 170 505 151 845 459 206 103 242 575 592 942 249 626 1008 697 961 311 662 932 894 892 412 88 999 210 770 552 570 67 846 462 494 793 628 793 7 936 3 775 574 967 29 360 540
guo_speech.wav_0001966720_0002103360.wav	16 594 377 407 760 686 175 445 548 770 441 151 416 348 742 600 482 292 724 467 657 1011 856 116 517 155 200 43 349 782 949 325 333 433 17 570 41 799 652 1007 846 925 35 159 384 669 6 894 820 613 185 823 469 998 690 513 1003 769 769 456 142 596 824 1005 804 623 1002 930 647 722 663 318 149 262 352 333 740 81 137 124 196 645 753 925 623 80 628 891 897 334 421 251 648 308 49 963 391 402 1017 75 140 149 1005 334 365 8
guo_speech.wav_0002858240_0003025920.wav	913 76 623 774 3 623 149 395 241 791 646 733 685 867 173 539 212 349 958 581 242 538 471 637 637 443 443 831 1005 111 4 446 446 367 445 65 579 592 942 942 542 618 798 697 26 103 131 469 43 527 452 461 161 856 201 957 311 938 734 99 3 14 162 574 420 679 171 134 248 775 149 149 320 514 649 119 493 453 316 887 373 590 412 586 192 775 451 804 775 797 656 574 912 681 307 856 180 407 631 870 48 378 836 869 903 808 539 209 331 442 8 535 793 1011 52 685 482 585 42 790 535 560 14 190 190 721 3 185 8 17
guo_speech.wav_0003752000_0003806080.wav	516 416 791 774 296 771 377 760 205 459 164 8 242 818 732 56 987 890 850 495 288 954 789 862 23 360 372 392 395 766 521 164 324 116 851 511 547 743 685 963 879 456
